country,material,price,currency,unit,source,date,source_url,extraction_date
China,Apartamento (m2 Centro),5292.74,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Ireland,Apartamento (m2 Centro),5496.26,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Qatar,Apartamento (m2 Centro),5067.2,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Slovakia,Apartamento (m2 Centro),4058.51,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
France,Apartamento (m2 Centro),5974.66,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Lithuania,Apartamento (m2 Centro),4081.8,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Serbia,Apartamento (m2 Centro),3350.78,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Romania,Apartamento (m2 Centro),2694.86,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Philippines,Apartamento (m2 Centro),2942.51,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Uzbekistan,Apartamento (m2 Centro),1773.38,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Bangladesh,Apartamento (m2 Centro),886.08,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Norway,Apartamento (m2 Centro),7340.74,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Denmark,Apartamento (m2 Centro),6106.19,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Dominican Republic,Apartamento (m2 Centro),2231.6,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Mexico,Apartamento (m2 Centro),2721.96,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Zimbabwe,Apartamento (m2 Centro),849.79,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Montenegro,Apartamento (m2 Centro),3105.52,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
Indonesia,Apartamento (m2 Centro),1735.84,USD,m2,Numbeo (Global),2025-Now,https://www.numbeo.com/cost-of-living/prices_by_country.jsp?displayCurrency=USD&itemId=100,2026-01-26 14:11:38
